correlation_id,chart_id,chart_title,event_date,event_title,event_source_file,relationship_type,confidence,direction,lag_description,justification,caveats
evm_000001,owid__oil_production_volume,Oil Production (physical volume),1901-05-28,D'Arcy Oil Concession,timeline/iran.csv,context,2,increase,gradual over a decade,"The 60-year D'Arcy concession created the legal exploration rights that eventually produced the 1908 discovery and the 1909 Anglo-Persian Oil Company (APOC), the entity whose production and profit/royalty flows these two charts track; but the concession itself moved no output or revenue for its first decade.","Oil production stays at essentially zero for a full decade after the concession (1901-1910), so any link between this specific legal grant and the later production/profit ramp is indirect and mediated by the 1908 discovery and subsequent infrastructure build-out, not a direct same-period effect."
evm_000002,pahlavi__aioc_profits_taxes_royalties_1910_51,"AIOC Net Profit, UK Tax Payments & Iran Royalty Payments, 1910-1951",1901-05-28,D'Arcy Oil Concession,timeline/iran.csv,context,2,increase,gradual over a decade,"The 60-year D'Arcy concession created the legal exploration rights that eventually produced the 1908 discovery and the 1909 Anglo-Persian Oil Company (APOC), the entity whose production and profit/royalty flows these two charts track; but the concession itself moved no output or revenue for its first decade.","Oil production stays at essentially zero for a full decade after the concession (1901-1910), so any link between this specific legal grant and the later production/profit ramp is indirect and mediated by the 1908 discovery and subsequent infrastructure build-out, not a direct same-period effect."
evm_000003,owid__oil_production_volume,Oil Production (physical volume),1908-05-26,First major oil strike at Masjed Soleyman,timeline/iran.csv,causal,4,increase,3-8 year lag,"Iran's oil-production series is flat at zero through 1910, then rises from 0.5 million tonnes in 1911 to over 16 million by 1919 as APOC (founded 1909 on the strength of this discovery) built the pipeline and Abadan refinery needed to bring Masjed Soleyman's output to market -- the discovery is the direct origin of the entire subsequent series.","The multi-year gap between discovery (1908) and the first non-zero production reading (1911) reflects the time needed for pipeline and refinery construction, so the exact timing of each year's volume also depends on engineering and financing decisions, not the discovery event alone."
evm_000004,pahlavi__aioc_profits_taxes_royalties_1910_51,"AIOC Net Profit, UK Tax Payments & Iran Royalty Payments, 1910-1951",1908-05-26,First major oil strike at Masjed Soleyman,timeline/iran.csv,context,3,increase,1-3 year lag,"The discovery is the founding event for the Anglo-Persian (later Anglo-Iranian) Oil Company, whose net profits, UK tax payments and Iran royalty payments this chart tracks starting in 1910, two years after the strike.","The chart's start year (1910) is a data-availability cutoff rather than a natural break tied to the discovery; early-decade profit levels also reflect wartime oil demand (WWI) and initial low production volumes, not the discovery alone."
evm_000005,specialty_goods__tobacco_monopoly_1890_1995,"Tobacco Monopoly: Regie Concession, Dokhaniyat Conversion & Workforce (1890-1995)",1931-02-01,Foreign Trade Monopoly Law,timeline/iran.csv,contributing,3,ambiguous,same year,"The 1931 law's grant of state trading-company monopolies over sugar, tea, opium, tobacco and cereals is the legal basis for the Iranian tobacco monopoly (Dokhaniyat) whose concession history, conversion and workforce this chart tracks.",The chart spans 1890-1995 and reflects many later reorganizations of the tobacco monopoly unrelated to this specific 1931 law; exact causal weight of this one law on the chart's workforce/volume figures cannot be isolated from other regulatory changes.
evm_000006,pahlavi__aioc_profits_taxes_royalties_1910_51,"AIOC Net Profit, UK Tax Payments & Iran Royalty Payments, 1910-1951",1932-11-27,D'Arcy oil concession unilaterally cancelled,timeline/iran.csv,causal,4,ambiguous,same year,"Reza Shah's cancellation of the D'Arcy concession directly disrupted the royalty and profit-sharing framework the chart tracks, forcing renegotiation of Iran's royalty terms with AIOC.","The dispute was resolved within about six months (May 1933), so any dip or distortion in the annual royalty/profit figures for 1932-33 is hard to disentangle from normal year-to-year fluctuation in oil demand and prices."
evm_000007,pahlavi__aioc_profits_taxes_royalties_1910_51,"AIOC Net Profit, UK Tax Payments & Iran Royalty Payments, 1910-1951",1933-05-29,D'Arcy oil concession renegotiated,timeline/iran.csv,causal,4,increase,"same year, effects continuing through the 1930s","The new 60-year concession guaranteed Iran a fixed per-ton royalty plus 20% of AIOC's distributed profits, directly resetting the royalty/profit terms this chart measures.","Iran's royalty income after 1933 also depended heavily on global oil demand and AIOC output decisions, not the contract terms alone; the Depression-era price environment could suppress absolute royalty values even under improved contract terms."
evm_000008,pahlavi__oil_industry_employment_by_nationality_1939_60,"Oil Industry Employment by Nationality, 1939-1960",1941-08-25,Anglo-Soviet invasion of Iran,timeline/iran.csv,contributing,2,ambiguous,"same year, effects through WWII","Allied occupation secured Iran's oil fields as a wartime supply corridor, likely keeping foreign (British) staffing and output elevated through the war years even as domestic political control was disrupted.","Global wartime demand, Allied logistics needs, and pre-existing AIOC production plans are at least as important as the invasion itself in explaining wartime output and staffing levels; hard to isolate the invasion's marginal effect."
evm_000009,owid__oil_production_volume,Oil Production (physical volume),1941-08-25,Anglo-Soviet invasion of Iran,timeline/iran.csv,contributing,2,ambiguous,"same year, effects through WWII","Allied occupation secured Iran's oil fields as a wartime supply corridor, likely keeping foreign (British) staffing and output elevated through the war years even as domestic political control was disrupted.","Global wartime demand, Allied logistics needs, and pre-existing AIOC production plans are at least as important as the invasion itself in explaining wartime output and staffing levels; hard to isolate the invasion's marginal effect."
evm_000010,owid__oil_production_volume,Oil Production (physical volume),1946-01-30,Azerbaijan Crisis reaches the UN Security Council,timeline/iran.csv,context,2,ambiguous,same year,"The crisis centered partly on a Soviet demand for a northern Iranian oil concession (refused by the Majlis), and the accompanying political instability and blocked-currency legacy of the wartime occupation plausibly widened official/parallel exchange-rate pressures in this period.","No direct oil-production or FX-rate mechanism is documented for this specific diplomatic crisis; effects, if any, are swamped by broader postwar reconstruction and inflation dynamics. Treat as background context only."
