chart_id,verdict,merge_into,proposed_title,proposed_category,reason
wdi__SP.REG.BRTH.RU,merge_into,wdi__SP.REG.BRTH,,,Rural breakdown of birth-registration completeness; base chart wdi__SP.REG.BRTH already exists alongside male/female/urban siblings - fold in as a variant.
wdi__SE.PRE.ENRR,keep,,,,
wdi__EG.CFT.ACCS,keep,,,,
wdi__SP.POP.80UP.FE,keep,,,,
wdi__TM.TAX.TCOM.SM.FN,keep,,,,
wdi__GOV_WGI_RQ,keep,,,,
wdi__FM.LBL.BMNY,keep,,,,
wdi__SH.STA.ODFC,keep,,,,
wdi__SP.REG.BRTH.UR,merge_into,wdi__SP.REG.BRTH,,,Urban breakdown of birth-registration completeness; base chart wdi__SP.REG.BRTH already exists alongside male/female/rural siblings - fold in as a variant.
wdi__NY.GDP.MKTP,keep,,,,
wdi__NY.GNP.MKTP.CN,keep,,,,
wdi__SP.POP.TOTL.FE,keep,,,,
wdi__SE.PRM.NINT,keep,,,,
wdi__SP.POP.1014.MA,merge_into,proposed__population-by-age-group-sex,Population by age group and sex (5-year bands),Demographics & Population,"Tiny slice of the population age pyramid; sibling 5-year age-band x sex rows exist for every band (0-4 through 80+, male and female) with no single WDI chart_id bundling the pyramid (confirmed via wdi__SP.POP's own notes). Fold into one 'population by age and sex' chart with age band as variant, per the UN-agencies-FAO fragment precedent."
wdi__EG.ELC.ACCS.RU,keep,,,,
wdi__SL.EMP.SELF.MA,keep,,,,
wdi__EG.ELC.NGAS,keep,,,,
wdi__IP.JRN.ARTC,keep,,,,
wdi__AG.LND.ARBL,keep,,,,
wdi__SL.EMP.WORK.MA,keep,,,,
wdi__TX.VAL.TRAN.ZS,keep,,,,
wdi__AG.LND.AGRI,keep,,,,
wdi__SE.SEC.CMPT.LO,keep,,,,
wdi__DT.NFL.NIFC,merge_into,proposed__external-debt-net-flows-by-creditor-type,"Net financial flows on external debt, by creditor type",External Debt,"Fragment of external-debt net financial flows broken out by creditor/instrument type; sibling DT.NFL rows exist for every creditor category (bilateral, multilateral, IMF concessional/nonconcessional, IBRD, PPG private/official/commercial-bank creditors, PNG, others). No single chart bundles this breakdown; fold into one parent with creditor type as variant."
wdi__SL.UEM.TOTL.FE.NE,merge_into,wdi__SL.UEM.TOTL.FE,,,Duplicate measure: national-estimate vintage of female unemployment rate; spot-checked data.csv shows sparser/discontinuous Iran coverage than the modeled-ILO-estimate series - fold in as an alt-source vintage per the cross-slice-duplicate rule.
wdi__SH_UHC_FH40,keep,,,,
wdi__BX.GSR.GNFS,keep,,,,
wdi__TM.TAX.TCOM.SM.AR,keep,,,,
wdi__EN.GHG.CH4.BU.MT.CE,keep,,,,
wdi__BX.GRT.TECH.CD,keep,,,,
wdi__SH.XPD.PVTD.CH,keep,,,,
wdi__ST.INT.TRNX,keep,,,,
wdi__SH.SGR.IRSK,keep,,,,
wdi__DC.DAC.FRAL,merge_into,wdi__DC.DAC.TOTL,,,"Donor-country fragment of bilateral aid flows; sibling DAC-donor rows exist for every donor (France, Norway, Japan, Ireland, Austria, Korea, New Zealand, Czechia, Australia, Luxembourg, EU institutions, Slovak Republic, Poland, etc.) - matches the 'UN agencies, FAO' fragment pattern in the brief; fold into the Total chart with donor as a variant."
wdi__SH.STA.BASS.RU,keep,,,,
wdi__DC.DAC.TOTL,keep,,,,
wdi__AG.CON.FERT,keep,,,,
wdi__NV.MNF.TECH.ZS,keep,,,,
wdi__MS.MIL.XPND,keep,,,,
wdi__SL.UEM.NEET,keep,,,,
wdi__EN.GHG.ALL.MT.CE,keep,,,,
wdi__TX.VAL.MRCH.AL,keep,,,,
wdi__DC.DAC.NORL,merge_into,wdi__DC.DAC.TOTL,,,"Donor-country fragment of bilateral aid flows; sibling DAC-donor rows exist for every donor (France, Norway, Japan, Ireland, Austria, Korea, New Zealand, Czechia, Australia, Luxembourg, EU institutions, Slovak Republic, Poland, etc.) - matches the 'UN agencies, FAO' fragment pattern in the brief; fold into the Total chart with donor as a variant."
wdi__SL.EMP.MPYR.MA,keep,,,,
wdi__TM.TAX.MRCH.SM.AR,keep,,,,
wdi__SH.DYN.NCOM.FE,merge_into,wdi__SH.DYN.NCOM,,,Female breakdown of premature NCD mortality; base chart wdi__SH.DYN.NCOM (total) and a male sibling already exist - fold in as a sex variant.
wdi__NV.IND.TOTL.KD,keep,,,,
wdi__SE.XPD.TERT,keep,,,,
wdi__NY.ADJ.SVNX,keep,,,,
wdi__DC.DAC.JPNL,merge_into,wdi__DC.DAC.TOTL,,,"Donor-country fragment of bilateral aid flows; sibling DAC-donor rows exist for every donor (France, Norway, Japan, Ireland, Austria, Korea, New Zealand, Czechia, Australia, Luxembourg, EU institutions, Slovak Republic, Poland, etc.) - matches the 'UN agencies, FAO' fragment pattern in the brief; fold into the Total chart with donor as a variant."
wdi__SL.EMP.VULN,keep,,,,
wdi__SH.STA.MALN,keep,,,,
wdi__EG.USE.COMM.FO,keep,,,,
wdi__TM.VAL.MRCH.R2,keep,,,,
wdi__HD_HCIP_OVRL,keep,,,,
wdi__SL.UEM.ADVN,keep,,,,
wdi__EN.CLC.MDAT,keep,,,,
wdi__DC.DAC.IRLL,merge_into,wdi__DC.DAC.TOTL,,,"Donor-country fragment of bilateral aid flows; sibling DAC-donor rows exist for every donor (France, Norway, Japan, Ireland, Austria, Korea, New Zealand, Czechia, Australia, Luxembourg, EU institutions, Slovak Republic, Poland, etc.) - matches the 'UN agencies, FAO' fragment pattern in the brief; fold into the Total chart with donor as a variant."
wdi__DT.DOD.DSTC.IR,keep,,,,
wdi__VC.IDP,keep,,,,
wdi__SL.TLF.CACT.FE.NE,merge_into,wdi__SL.TLF.CACT.FE,,,Duplicate measure: national-estimate vintage of female labor force participation rate; spot-checked data.csv shows sparser/discontinuous Iran coverage than the modeled-ILO-estimate series - fold in as an alt-source vintage per the cross-slice-duplicate rule.
wdi__SH.STA.DIAB,keep,,,,
wdi__SE.PRM.PRSL.MA,keep,,,,
wdi__TX.VAL.MANF.ZS,keep,,,,
wdi__AG.PRD.CROP,keep,,,,
wdi__DT.TDS.DPPG,keep,,,,
wdi__EG.USE.ELEC.KH,keep,,,,
wdi__SP.POP.0004.MA,merge_into,proposed__population-by-age-group-sex,Population by age group and sex (5-year bands),Demographics & Population,"Tiny slice of the population age pyramid; sibling 5-year age-band x sex rows exist for every band (0-4 through 80+, male and female) with no single WDI chart_id bundling the pyramid (confirmed via wdi__SP.POP's own notes). Fold into one 'population by age and sex' chart with age band as variant, per the UN-agencies-FAO fragment precedent."
wdi__SH.MED.PHYS,keep,,,,
wdi__SH.STA.SMSS.UR,keep,,,,
wdi__SE.TER.CUAT.MS,keep,,,,
wdi__BM.GSR.GNFS,keep,,,,
wdi__NY.TRF.NCTR,keep,,,,
wdi__NY.TAX.NIND,keep,,,,
wdi__TX.VAL.AGRI.ZS,keep,,,,
