# Series;Series description (EN);Metric;Unit of Measure;Reference date;Value;State
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-11-30;0;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-10-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-09-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-08-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-07-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-06-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-05-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-04-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-03-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-02-29;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2020-01-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-12-31;0.02;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-11-30;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-10-31;0.01;
12519709;Interest Rate-Overnight deposits-Non Financial Sector MU exc GG (Stocks);Annualized agreed rate;Percentage;2019-09-30;0.01;
