COICOP groups 2011	Type of data	Periodo	Total
Overall index	Index	2026M06	""
Overall index	Index	2026M05	102,951
Overall index	Index	2026M04	102,883
Overall index	Index	2026M03	102,44
Overall index	Index	2026M02	101,261
Overall index	Index	2026M01	100,836
Overall index	Index	2025M12	101,289
Overall index	Index	2025M11	100,943
Overall index	Index	2025M10	100,748
Overall index	Index	2025M09	100,059
Overall index	Index	2025M08	100,345
Overall index	Index	2025M07	100,305
Overall index	Index	2025M06	100,382
Overall index	Index	2025M05	99,714
Overall index	Index	2025M04	99,647
Overall index	Index	2025M03	99,024
Overall index	Index	2025M02	98,966
Overall index	Index	2025M01	98,579
Overall index	Index	2024M12	98,411
Overall index	Index	2024M11	97,968
Overall index	Index	2024M10	97,729
Overall index	Index	2024M09	97,123
Overall index	Index	2024M08	97,713
Overall index	Index	2024M07	97,673
Overall index	Index	2024M06	98,139
Overall index	Index	2024M05	97,771
Overall index	Index	2024M04	97,514
Overall index	Index	2024M03	96,84
Overall index	Index	2024M02	96,108
Overall index	Index	2024M01	95,768
Overall index	Index	2023M12	95,687
Overall index	Index	2023M11	95,663
Overall index	Index	2023M10	95,998
Overall index	Index	2023M09	95,721
Overall index	Index	2023M08	95,552
Overall index	Index	2023M07	95,042
Overall index	Index	2023M06	94,881
Overall index	Index	2023M05	94,345
Overall index	Index	2023M04	94,39
Overall index	Index	2023M03	93,831
Overall index	Index	2023M02	93,487
Overall index	Index	2023M01	92,613
Overall index	Index	2022M12	92,808
Overall index	Index	2022M11	92,669
Overall index	Index	2022M10	92,78
Overall index	Index	2022M09	92,47
Overall index	Index	2022M08	93,117
Overall index	Index	2022M07	92,881
Overall index	Index	2022M06	93,118
Overall index	Index	2022M05	91,426
Overall index	Index	2022M04	90,676
Overall index	Index	2022M03	90,837
Overall index	Index	2022M02	88,167
Overall index	Index	2022M01	87,46
Overall index	Index	2021M12	87,797
Overall index	Index	2021M11	86,761
Overall index	Index	2021M10	86,496
Overall index	Index	2021M09	84,934
Overall index	Index	2021M08	84,232
Overall index	Index	2021M07	83,85
Overall index	Index	2021M06	84,487
Overall index	Index	2021M05	84,087
Overall index	Index	2021M04	83,693
Overall index	Index	2021M03	82,716
Overall index	Index	2021M02	81,922
Overall index	Index	2021M01	82,407
Overall index	Index	2020M12	82,4
Overall index	Index	2020M11	82,225
Overall index	Index	2020M10	82,09
Overall index	Index	2020M09	81,662
Overall index	Index	2020M08	81,54
Overall index	Index	2020M07	81,502
Overall index	Index	2020M06	82,24
Overall index	Index	2020M05	81,863
Overall index	Index	2020M04	81,868
Overall index	Index	2020M03	81,621
Overall index	Index	2020M02	81,935
Overall index	Index	2020M01	82,032
Overall index	Index	2019M12	82,84
Overall index	Index	2019M11	82,9
Overall index	Index	2019M10	82,76
Overall index	Index	2019M09	81,965
Overall index	Index	2019M08	81,965
Overall index	Index	2019M07	82,011
Overall index	Index	2019M06	82,522
Overall index	Index	2019M05	82,619
Overall index	Index	2019M04	82,459
Overall index	Index	2019M03	81,636
Overall index	Index	2019M02	81,34
Overall index	Index	2019M01	81,142
Overall index	Index	2018M12	82,193
Overall index	Index	2018M11	82,563
Overall index	Index	2018M10	82,654
Overall index	Index	2018M09	81,897
Overall index	Index	2018M08	81,697
Overall index	Index	2018M07	81,581
Overall index	Index	2018M06	82,17
Overall index	Index	2018M05	81,956
Overall index	Index	2018M04	81,224
Overall index	Index	2018M03	80,558
Overall index	Index	2018M02	80,463
Overall index	Index	2018M01	80,355
Overall index	Index	2017M12	81,231
Overall index	Index	2017M11	81,194
Overall index	Index	2017M10	80,825
Overall index	Index	2017M09	80,086
Overall index	Index	2017M08	79,947
Overall index	Index	2017M07	79,788
Overall index	Index	2017M06	80,343
Overall index	Index	2017M05	80,308
Overall index	Index	2017M04	80,356
Overall index	Index	2017M03	79,592
Overall index	Index	2017M02	79,608
Overall index	Index	2017M01	79,896
Overall index	Index	2016M12	80,338
Overall index	Index	2016M11	79,864
Overall index	Index	2016M10	79,576
Overall index	Index	2016M09	78,677
Overall index	Index	2016M08	78,673
Overall index	Index	2016M07	78,572
Overall index	Index	2016M06	79,148
Overall index	Index	2016M05	78,783
Overall index	Index	2016M04	78,355
Overall index	Index	2016M03	77,81
Overall index	Index	2016M02	77,314
Overall index	Index	2016M01	77,588
Overall index	Index	2015M12	79,097
Overall index	Index	2015M11	79,329
Overall index	Index	2015M10	79,039
Overall index	Index	2015M09	78,536
Overall index	Index	2015M08	78,779
Overall index	Index	2015M07	79,041
