ردیف,ماه,سال,نام گمرک,نام کشور,شماره تعرفه,عنوان تعرفه,وزن - کیلو گرم,ارزش - ریال,ارزش - دلار
1,7,1401,قزوین,سوریه,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,147360,201272821031,744225
2,5,1401,قزوین,سوریه,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,139392,175370188316,667269
3,8,1401,قزوین,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,60211,87542002399,319429
4,9,1401,قزوین,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,54067,82675271008,285190
5,11,1401,قزوین,سوریه,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,43181,75039753696,244485
6,10,1401,خسروی,عراق,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,93500,74614683000,243100
7,10,1401,قزوین,سوریه,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,43786,74034602953,241210
8,12,1401,قزوین,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,40550,68264427799,222410
9,6,1401,قزوین,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,48883,57122614844,214409
10,10,1401,قزوین,امارات متحده عربی,4021010,شیرخشک ا طفال در بسته بندی های تحت خلا و یک کیلوگرم و کمترکه میزا ن مواد چرب ا ن یک و نیم% و یا کمتر باشد,33178,55577690522,181076
11,12,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,3370150,3028298644700,8771774
12,8,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,3202125,2284637813575,8320821
13,11,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,2100000,1939030275000,6317500
14,9,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,2472200,1858104783600,6379677
15,7,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,2450000,1726782980000,6367238
16,10,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1800000,1509913567500,4933591
17,11,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1525000,1433746762500,4671250
18,3,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1950000,1257670635000,5078297
19,12,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1300000,1213692675000,3357743
20,9,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1525000,1151958600000,3938604
21,1,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1825000,1146373800000,4746581
22,12,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1033750,1014820670500,2676303
23,4,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1510050,1007509783540,3916835
24,8,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1400000,1005801745000,3636821
25,1,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1575000,989369355000,4095538
26,10,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1100120,901232767500,2944750
27,5,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1275000,880520386980,3315036
28,2,1401,اصفهان,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1300000,841512555000,3377302
29,6,1401,اصفهان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1140375,800829667633,2997105
30,4,1401,منطقه ویژه اقتصادی نوشهر,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1123750,749850600726,2921499
31,7,1401,غرب تهران,پاکستان,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,1025000,722967635000,2665000
32,12,1401,پرویز خان,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,694460,641735866096,1802416
33,12,1401,خسروی,عراق,4021020,شیر خشک صنعتی از گاو که میزان مواد چرب آن بیشتر از 1/5 درصد وزنی نباشد غیر از مذکور در جای دیگر,653000,611382335200,1682156
