year,metric,value,unit,country
1994,tea_production,55.6,thousand_tonnes,Iran
1994,tea_imports,20.6,thousand_tonnes,Iran
1994,tea_exports,1.0,thousand_tonnes,Iran
1994,tea_consumption,75.2,thousand_tonnes,Iran
1995,tea_production,54.4,thousand_tonnes,Iran
1995,tea_imports,31.2,thousand_tonnes,Iran
1995,tea_exports,0,thousand_tonnes,Iran
1995,tea_consumption,85.6,thousand_tonnes,Iran
1996,tea_production,62.1,thousand_tonnes,Iran
1996,tea_imports,27.3,thousand_tonnes,Iran
1996,tea_exports,0,thousand_tonnes,Iran
1996,tea_consumption,89.4,thousand_tonnes,Iran
1997,tea_production,69.3,thousand_tonnes,Iran
1997,tea_imports,36.0,thousand_tonnes,Iran
1997,tea_exports,7.7,thousand_tonnes,Iran
1997,tea_consumption,97.6,thousand_tonnes,Iran
1998,tea_production,60.6,thousand_tonnes,Iran
1998,tea_imports,33.0,thousand_tonnes,Iran
1998,tea_exports,7.7,thousand_tonnes,Iran
1998,tea_consumption,85.8,thousand_tonnes,Iran
1999,tea_production,61.7,thousand_tonnes,Iran
1999,tea_imports,38.0,thousand_tonnes,Iran
1999,tea_exports,18.3,thousand_tonnes,Iran
1999,tea_consumption,81.4,thousand_tonnes,Iran
2000,tea_production,49.9,thousand_tonnes,Iran
2000,tea_imports,47.0,thousand_tonnes,Iran
2000,tea_exports,21.2,thousand_tonnes,Iran
2000,tea_consumption,75.6,thousand_tonnes,Iran
2001,tea_production,51.2,thousand_tonnes,Iran
2001,tea_imports,40.0,thousand_tonnes,Iran
2001,tea_exports,10.0,thousand_tonnes,Iran
2001,tea_consumption,81.2,thousand_tonnes,Iran
2002,tea_production,51.5,thousand_tonnes,Iran
2002,tea_imports,41.0,thousand_tonnes,Iran
2002,tea_exports,8.2,thousand_tonnes,Iran
2002,tea_consumption,84.3,thousand_tonnes,Iran
2003,tea_production,50.0,thousand_tonnes,Iran
2003,tea_imports,32.5,thousand_tonnes,Iran
2003,tea_exports,4.5,thousand_tonnes,Iran
2003,tea_consumption,78.0,thousand_tonnes,Iran
1998,tea_consumption_per_capita,1.32,kg_per_capita,Iran
1998,total_population,64887,thousand_persons,Iran
1999,tea_consumption_per_capita,1.24,kg_per_capita,Iran
1999,total_population,65661,thousand_persons,Iran
2000,tea_consumption_per_capita,1.14,kg_per_capita,Iran
2000,total_population,66443,thousand_persons,Iran
2001,tea_consumption_per_capita,1.21,kg_per_capita,Iran
2001,total_population,67245,thousand_persons,Iran
2002,tea_consumption_per_capita,1.24,kg_per_capita,Iran
2002,total_population,68070,thousand_persons,Iran
2003,tea_consumption_per_capita,1.21,kg_per_capita,Iran
2003,total_population,68920,thousand_persons,Iran
2003,tea_consumption_per_capita_turkey_comparator,2.11,kg_per_capita,Turkey
2003,tea_consumption_egypt_comparator,77.4,thousand_tonnes,Egypt
2003,tea_consumption_per_capita_egypt_comparator,1.06,kg_per_capita,Egypt
2003,tea_consumption_pakistan_comparator,109.0,thousand_tonnes,Pakistan
1999,turkey_production,199.0,thousand_tonnes,Turkey
2003,turkey_production,155.0,thousand_tonnes,Turkey
