year,metric,value,unit,notes
1923-1925,Early modern factory establishment,,,"Amin-al-Zarb's silk factory reopened (1923); Vatan textile factory began production in Isfahan (1925, start of Pahlavi era)"
1931,Number of textile factories,26,factories,"Average 25 workers each nationally; Isfahan led with 8 mills (5,372 workers); Yazd 2 mills (1,074 workers); Kerman and Shahi each had 1 mill"
1931-1938,Large-scale mills established,29,"mills (cumulative, minimum)","Also 32 hosiery factories (1,584 workers) and 12 wool-cleaning plants (225 workers) founded in the 1930s"
1940,Cotton-ginning factories,76,factories,"~1,500 workers"
1940,Modern textile factory employment,24500,workers,"compared to only ~1,000 workers twenty years prior (i.e. early 1920s)"
1948,Cotton weaving/spinning mills,26,mills,"188,000 spindles, producing 10,800 tons annually"
1955,Textile companies,51,companies,"41 of the 51 were cotton-based; 370,000 spindles and 5,000 weaving/knitting machines nationally"
1957,Handloom share of output,40,percent,"Handlooms still produced 40% of total textile output while employing 70% of the sector workforce -- i.e. modern mills already had much higher labor productivity"
1959,Total sector output,approximately 200,million meters (cloth),Modern (non-handloom) factories produced over 60% of this total
1950-1962,Spindle count growth,"nearly doubled",spindles,Textile machines (looms/knitting) nearly TRIPLED over the same period
1961,Demand recession,,,"A recession caused demand to fall below supply; many plants closed; industry lobbied government for a full ban on textile imports"
1962-1966,Government investment policy,,,Government prohibited NEW foreign investment in the textile sector during this period
1966,Import substitution milestone,,,Iran stopped importing cotton fabric entirely (domestic production judged sufficient for this segment)
1969,Import ban lifted,,,"Import ban lifted as rising incomes increased demand beyond what continued protection could satisfy efficiently"
1972,Spindles,900000,spindles,Effectively doubling the spindle-linked workforce capacity versus 1962
1972,Weaving and knitting machines,17000,machines,
1972,Textile sector employment,145000,workers,Described as roughly double the 1962 textile workforce
1972,Clothing (apparel) industry employment,70000,workers,Separate from the textile (fabric-production) workforce count above
1972,Cotton textile export share,6,percent of total cotton textile output,"Driven by domestic overcapacity relative to demand at the time"
1972,Mass-consumption textile price premium,25-40,percent above average US import price,"'Chit' and 'khodari' fabrics (>=70% of domestic consumption) -- sourced from World Bank 1972 industrial report, see companion dataset wb1972industrial-isfahan-steel-and-idro-capital-goods; wool prices (net of high import duties) were roughly comparable to import prices"
1970s (general),Competitiveness pressure,,,"Overheating of the broader economy raised wages sharply in the 1970s, eroding the competitiveness of this labor-intensive industry"
1975,Cotton production (unginned),716000,metric tons,"PEAK year for Iranian cotton production; decline afterward attributed to government price intervention (low state purchase price paid to cotton farmers)"
1980,Spindles,1400000,spindles,Post-revolution; continued nominal capacity growth despite broader economic disruption
1980,Weaving and knitting machines,35000,machines,
1981,Cotton production (unginned),204000,metric tons,"Sharp decline from the 1975 peak of 716,000 tons (~-71%), consistent with post-revolution/war-era agricultural disruption"
1993,Spindles,1500000,spindles,
1993,Weaving and knitting machines,40000,machines,
1993,Total textile-sector employment,approximately 420000,workers,"~30% of Iran's entire industrial workforce at this date; of this, the more 'industrialized' (modern, non-artisanal) segment employed about 150,000"
1995,Cotton production (beaten cotton basis),150000,metric tons annually,"Different measurement basis (beaten/processed cotton) than the unginned-cotton figures used for 1975/1981/1997 -- not directly comparable, flagged as a units caveat"
1997,Cotton production,598000,metric tons,Partial recovery from the 1980s trough
1997,Cotton exports,35000,metric tons,
2001,Textile production growth,30,percent (year-over-year increase),
2001,Textile export value,220,million USD,+15% year-over-year
2002,Textile export value growth,45,percent (year-over-year increase),
2002,Cotton exports,3200,metric tons,"Sharp decline from 35,000 tons in 1997"
