category,1955/56,1956/57,1957/58,1958/59,1959/60,unit,notes
Ministry of War,4500,5871,6036,8217,8217,million rials,
Gendarmerie,728,997,1191,1941,1940,million rials,
Police,841,1052,1125,1275,1524,million rials,
Ministry of Posts and Telegraphs,390,526,726,756,866,million rials,
Ministry of Education,2111,3584,3895,4128,4500,million rials,
Ministry of Agriculture,309,400,481,668,762,million rials,
Road Maintenance,425,580,750,950,950,million rials,
Ministry of Health,519,580,774,974,1066,million rials,
Ministry of Finance,581,676,716,798,963,million rials,
Tobacco Monopoly,840,1118,1019,1369,1384,million rials,
Other expenditure,3582,4481,5233,6756,8950,million rials,
Total budgeted expenditure,14826,19865,21946,27831,31122,million rials,"1958/59 figure excludes 'Special Expenditures' covered entirely by 'Special Revenues' of Rls. 1.2 billion (footnote 1/)"
Actual expenditure,14838,17944,21700,25261,,million rials,"1958/59 figure excludes 'Special Expenditures' covered entirely by 'Special Revenues' of Rls. 1.2 billion (footnote 1/); 1959/60 actual not yet available (blank in source)"
