commodity,unit,1954/55,1955/56,1956/57,1957/58,1958/59
Tea,1000 metric tons,6.0,7.0,7.8,7.8,8.0
Sugar,1000 metric tons,61.7,76.8,85.2,86.5,93.9
Cement,1000 metric tons,65.0,131.9,321.5,322.0,410.1
Cotton cloth,million metres,64.5,55.3,61.9,63.0,107.0
Woolen cloth,million metres,1.9,2.3,3.3,3.4,1.7
Jute cloth,million metres,5.4,6.1,5.2,6.0,5.2
Silk cloth,million metres,0.6,0.4,0.1,0.2,0.1
Cigarettes,million Nos,6.7,6.8,6.6,6.7,7.2
Matches,million Nos,408.9,365.2,317.5,350.0,401.4
Soap,1000 metric tons,58.0,58.7,53.7,54.7,35.0
Rubber shoes,million pairs,0.6,0.8,2.9,3.0,8.2
Glass,million square metres,,0.3,0.5,0.6,0.8
Soft drinks,million bottles,,96.5,128.0,138.5,127.5
