parameter,value,unit,notes
Dam type,thin concrete arch dam,,"""190 meters high"" per Summary and Conclusions text (an underground powerhouse in the right embankment just below the dam)"
Dam height,190,meters,
Reservoir storage capacity,3350,million cubic meters,normal maximum operating level 350 meters above sea level
Reservoir useful life,order of decades (unspecified exact figure) with periodic flushing and upstream terracing planned,,"text states ""useful life of the reservoir is estimated to be of the order of..."" (figure illegible/cut off in source at this point)"
Installed hydroelectric capacity (ultimate),520,MW,eight units of 65 MW each (8 x 65MW)
Installed hydroelectric capacity (initial),130,MW,first two units of 65 MW each; scheduled to go into operation by end of 1962
Transmission line,166,km,230 KV line Dez Dam to Ahwaz (first circuit built with initial 2 units; second circuit added later)
Gross irrigable area (full project),125000,hectares,"of which 110,000 hectares would be irrigated"
Full-project irrigated area target,110000,hectares,"full development target, originally planned to be reached by 1973"
Pilot irrigation scheme area,20000,hectares,"gross pilot area 22200 hectares; approved as first phase instead of full 110,000ha scheme"
Additional area beyond pilot (if warranted),90000,hectares,"to bring total to 110,000 ha full scheme"
Population served in project area (Khuzistan: Andimeshk/Dezful/Shushtar/Ahwaz),150000,people,"approximate, engaged in dry-farming and irrigation farming pre-project"
Sugar cane plantation (concurrent DRC project),10000,hectares,"Developed by Development and Resources Corporation (DRC), scheduled to enter operation 1962, using water pumped from Dez River pre-dam"
Total investment - pilot stage through 1966,83,million USD,"without interest during construction; ~48% in foreign exchange (high dam + power + irrigation combined)"
"Total investment - full scheme addition (to full 110,000 ha)",82,million USD,"additional to the pilot-stage $83 million, by the time full irrigation reached"
Amount already spent by appraisal date (1960),15,million USD,on construction and equipment for the principal features to date
Total dam+power-facilities cost (Annex 1 total A+B+C),4850,million rials,"sum of Annex 1 sections A (2595) + B (1620) + C (635); equivalent to roughly USD 64.7 million at the report's stated rate of 75 Rials = US$1"
Exchange rate used in report,75,Rials per US dollar,"report's official stated convenience rate; free-market/par rate cited as 75.75 Rials = US$1"
Cost allocation basis,one-third power / two-thirds irrigation and flood control combined,,for the dam and other works common to all purposes (865 million rials each of the three categories out of 2595 total)
Consultant (principal),Development and Resources Corporation (DRC) of New York,,retained by Iran's Plan Organization from 1957; continued as principal consultant for construction and initial operation
Dam and power design consultant,Electroconsult,,sub-consultant for supervision of dam construction
Irrigation scheme design consultant,Nederlandsche Heidemaatschappij (NH) of Arnhem,,"basic studies, general plans and layouts for the irrigation scheme"
Construction schedule - dam/powerhouse/initial 2 units,end of 1962,,scheduled completion/start of operation
Construction schedule - pilot irrigation scheme,1963-1964,,scheduled partial completion
Construction schedule - full-scheme decision point,1966 or 1967,,"hoped-for decision date to proceed with full 110,000ha scheme"
Construction schedule - full-scheme extension start,late 1967,,if full-scheme decision made on schedule
Construction schedule - first additional area irrigated,1970,,under full-scheme scenario
Construction schedule - entire area under irrigation,1974,,under full-scheme scenario (revised from original 1973 target)
Proposed World Bank loan,yes - amount not stated on summary page,,"""the project as now proposed would be suitable for a Bank loan"" -- exact loan amount not captured on the summary pages extracted; see full appraisal report for loan amount detail"
