area,source_table,metric,iranian_solar_year,gregorian_start_year,value_thousand_rials
urban,21.1_top_line,total_net_expenditure,1380,2001,28020
urban,21.1_top_line,total_net_expenditure,1385,2006,67286
urban,21.1_top_line,total_net_expenditure,1390,2011,132716
urban,21.1_top_line,total_net_expenditure,1395,2016,284820
urban,21.1_top_line,total_net_expenditure,1396,2017,329525
urban,21.1_top_line,total_net_expenditure,1397,2018,393227
urban,21.1_top_line,total_net_expenditure,1398,2019,474379
urban,21.1_top_line,total_net_expenditure,1399,2020,621392
urban,21.1_top_line,non_food_expenditure,1380,2001,20854
urban,21.1_top_line,non_food_expenditure,1385,2006,52098
urban,21.1_top_line,non_food_expenditure,1390,2011,99965
urban,21.1_top_line,non_food_expenditure,1395,2016,218185
urban,21.1_top_line,non_food_expenditure,1396,2017,252775
urban,21.1_top_line,non_food_expenditure,1397,2018,298722
urban,21.1_top_line,non_food_expenditure,1398,2019,356850
urban,21.1_top_line,non_food_expenditure,1399,2020,460298
urban,21.1_top_line,food_and_tobacco_expenditure,1380,2001,7166
urban,21.1_top_line,food_and_tobacco_expenditure,1385,2006,15188
urban,21.1_top_line,food_and_tobacco_expenditure,1390,2011,32752
urban,21.1_top_line,food_and_tobacco_expenditure,1395,2016,66636
urban,21.1_top_line,food_and_tobacco_expenditure,1396,2017,76750
urban,21.1_top_line,food_and_tobacco_expenditure,1397,2018,94505
urban,21.1_top_line,food_and_tobacco_expenditure,1398,2019,117529
urban,21.1_top_line,food_and_tobacco_expenditure,1399,2020,161094
rural,21.1_top_line,total_net_expenditure,1380,2001,17233
rural,21.1_top_line,total_net_expenditure,1385,2006,41570
rural,21.1_top_line,total_net_expenditure,1390,2011,83973
rural,21.1_top_line,total_net_expenditure,1395,2016,156907
rural,21.1_top_line,total_net_expenditure,1396,2017,178670
rural,21.1_top_line,total_net_expenditure,1397,2018,214472
rural,21.1_top_line,total_net_expenditure,1398,2019,261006
rural,21.1_top_line,total_net_expenditure,1399,2020,340679
rural,21.1_top_line,non_food_expenditure,1380,2001,10163
rural,21.1_top_line,non_food_expenditure,1385,2006,26057
rural,21.1_top_line,non_food_expenditure,1390,2011,51033
rural,21.1_top_line,non_food_expenditure,1395,2016,97138
rural,21.1_top_line,non_food_expenditure,1396,2017,112166
rural,21.1_top_line,non_food_expenditure,1397,2018,134226
rural,21.1_top_line,non_food_expenditure,1398,2019,158342
rural,21.1_top_line,non_food_expenditure,1399,2020,204237
rural,21.1_top_line,food_and_tobacco_expenditure,1380,2001,7070
rural,21.1_top_line,food_and_tobacco_expenditure,1385,2006,15513
rural,21.1_top_line,food_and_tobacco_expenditure,1390,2011,32940
rural,21.1_top_line,food_and_tobacco_expenditure,1395,2016,59769
rural,21.1_top_line,food_and_tobacco_expenditure,1396,2017,66504
rural,21.1_top_line,food_and_tobacco_expenditure,1397,2018,80246
rural,21.1_top_line,food_and_tobacco_expenditure,1398,2019,102664
rural,21.1_top_line,food_and_tobacco_expenditure,1399,2020,136442
urban,21.2_nonfood_by_item,total,1380,2001,20854
urban,21.2_nonfood_by_item,total,1385,2006,52098
urban,21.2_nonfood_by_item,total,1390,2011,99965
urban,21.2_nonfood_by_item,total,1395,2016,218185
urban,21.2_nonfood_by_item,total,1396,2017,252775
urban,21.2_nonfood_by_item,total,1397,2018,298722
urban,21.2_nonfood_by_item,total,1398,2019,356850
urban,21.2_nonfood_by_item,total,1399,2020,460298
urban,21.2_nonfood_by_item,clothing_and_footwear,1380,2001,1940
urban,21.2_nonfood_by_item,clothing_and_footwear,1385,2006,3929
urban,21.2_nonfood_by_item,clothing_and_footwear,1390,2011,5609
urban,21.2_nonfood_by_item,clothing_and_footwear,1395,2016,11382
urban,21.2_nonfood_by_item,clothing_and_footwear,1396,2017,13229
urban,21.2_nonfood_by_item,clothing_and_footwear,1397,2018,13877
urban,21.2_nonfood_by_item,clothing_and_footwear,1398,2019,14535
urban,21.2_nonfood_by_item,clothing_and_footwear,1399,2020,20639
urban,21.2_nonfood_by_item,clothing_and_repairs,1380,2001,1535
urban,21.2_nonfood_by_item,clothing_and_repairs,1385,2006,3116
urban,21.2_nonfood_by_item,clothing_and_repairs,1390,2011,4439
urban,21.2_nonfood_by_item,clothing_and_repairs,1395,2016,9109
urban,21.2_nonfood_by_item,clothing_and_repairs,1396,2017,10619
urban,21.2_nonfood_by_item,clothing_and_repairs,1397,2018,11037
urban,21.2_nonfood_by_item,clothing_and_repairs,1398,2019,11677
urban,21.2_nonfood_by_item,clothing_and_repairs,1399,2020,16942
urban,21.2_nonfood_by_item,footwear_and_repairs,1380,2001,405
urban,21.2_nonfood_by_item,footwear_and_repairs,1385,2006,813
urban,21.2_nonfood_by_item,footwear_and_repairs,1390,2011,1170
urban,21.2_nonfood_by_item,footwear_and_repairs,1395,2016,2273
urban,21.2_nonfood_by_item,footwear_and_repairs,1396,2017,2611
urban,21.2_nonfood_by_item,footwear_and_repairs,1397,2018,2839
urban,21.2_nonfood_by_item,footwear_and_repairs,1398,2019,2858
urban,21.2_nonfood_by_item,footwear_and_repairs,1399,2020,3697
urban,21.2_nonfood_by_item,housing,1380,2001,8929
urban,21.2_nonfood_by_item,housing,1385,2006,19841
urban,21.2_nonfood_by_item,housing,1390,2011,44383
urban,21.2_nonfood_by_item,housing,1395,2016,97067
urban,21.2_nonfood_by_item,housing,1396,2017,108646
urban,21.2_nonfood_by_item,housing,1397,2018,133358
urban,21.2_nonfood_by_item,housing,1398,2019,172671
urban,21.2_nonfood_by_item,housing,1399,2020,229924
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1380,2001,7914
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1385,2006,18233
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1390,2011,38170
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1395,2016,87086
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1396,2017,97874
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1397,2018,122457
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1398,2019,160742
urban,21.2_nonfood_by_item,rents_and_imputed_rent_repair_maintenance,1399,2020,216064
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1380,2001,1016
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1385,2006,1609
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1390,2011,6213
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1395,2016,9981
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1396,2017,10772
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1397,2018,10901
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1398,2019,11929
urban,21.2_nonfood_by_item,water_sewage_fuel_light,1399,2020,13860
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1380,2001,1701
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1385,2006,3796
urban,21.2_nonfood_by_item,furniture_furnishings_equipment_services,1390,2011,5321
