date,rate_type,rate_low,rate_high,unit,notes
2003-02-06,official_fixed,1596,1600,VEB_per_USD,"CADIVI (Comision de Administracion de Divisas) established; initial fixed official buy/sell rates. Currency later redenominated (VEB->VEF 2008 at 1000:1, VEF->VES 2018 at 100000:1) -- rates below are in the unit stated at the time, NOT rebased for cross-period comparison"
2010-01,official_fixed,2.15,2.60,VEF_per_USD,"Dual official fixed-rate tier (Bolivar Fuerte, post-2008 redenomination)"
2012-08,black_market,10,10,VEF_per_USD,"Parallel/black-market rate"
2013-02,official_fixed,6.30,6.30,VEF_per_USD,"CADIVI official fixed rate"
2013-02,black_market,20,20,VEF_per_USD,"Parallel/black-market rate"
2013-09,black_market,40,40,VEF_per_USD,"Parallel/black-market rate"
2014-09,black_market,100,100,VEF_per_USD,"Parallel/black-market rate"
2015-05,black_market,300,400,VEF_per_USD,"Parallel/black-market rate"
2015-07,black_market,500,600,VEF_per_USD,"Parallel/black-market rate"
2016-02,official_fixed,10,10,VEF_per_USD,"Official fixed rate at this point"
2016-02,black_market,1000,1000,VEF_per_USD,"Parallel/black-market rate -- ~100x the official fixed rate"
2016-11,black_market,2000,4000,VEF_per_USD,"Parallel/black-market rate"
2017-05,black_market,5000,6000,VEF_per_USD,"Parallel/black-market rate"
2017-12,black_market,103000,111000,VEF_per_USD,"Parallel/black-market rate -- hyperinflation acceleration phase"
2018-08,black_market,3600000,5900000,VEF_per_USD,"Parallel/black-market rate immediately pre-redenomination (in old Bolivar Fuerte units)"
2018-08,black_market_post_redenomination,60,90,VES_per_USD,"Same period, expressed in the NEW Bolivar Soberano unit after the 2018-08-20 redenomination (100,000 VEF = 1 VES)"
2018-10-22,official_DICOM,63.81,63.81,VES_per_USD,"DICOM state-controlled auction system rate"
2018-10,black_market,171.34,171.34,VES_per_USD,"Parallel/black-market rate -- roughly 2.7x the official DICOM rate at the same date"
2019-08,black_market,13010,25950,VES_per_USD,"Parallel/black-market rate"
2020-12,black_market,940000,1200000,VES_per_USD,"Parallel/black-market rate"
2015-02-12,official_SIMADI,170,170,VEF_per_USD,"SIMADI (Sistema Marginal de Divisas) tier introduced -- a third official exchange tier alongside CENCOEX (6.3) and SICAD I (12) at this date"
2015-02-12,official_CENCOEX,6.3,6.3,VEF_per_USD,"CENCOEX tier (successor to CADIVI) -- most favorable official rate, reserved for priority imports (food/medicine)"
2015-02-12,official_SICAD_I,12,12,VEF_per_USD,"SICAD I tier -- second official rate tier"
