REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
ESP,WEF_GCIHH_BRIBEIDX,2017,4.73,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_BRIBEIDX,2017,41,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_BRIBEIDX,2016,4.72,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2016,43,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2015,4.53,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2015,45,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2014,4.44,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2014,50,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2013,4.75,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2013,43,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2012,4.85,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2012,40,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2011,4.97,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2011,38,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2010,5,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_BRIBEIDX,2010,39,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2017,49,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2017,107,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2016,50,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2016,110,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2015,58.2,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2015,122,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2014,58.6,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2014,127,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2013,38.7,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2013,74,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2012,38.7,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2012,72,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2011,56.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2011,119,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2010,56.9,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2010,112,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2009,60.2,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2009,109,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2008,62,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2008,110,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2007,59.1,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_CORPTAXRATE,2007,97,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2017,5.48,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_EOSQ035,2017,32,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_EOSQ035,2016,5.66,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2016,32,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2015,5.59,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2015,39,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2014,5.48,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2014,44,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2013,5.68,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2013,46,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2012,5.75,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2012,46,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2011,5.66,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2011,46,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2010,5.55,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2010,60,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2009,5.47,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ035,2009,62,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
