REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
SAU,WEF_GCIHH_BRIBEIDX,2017,5.34,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
SAU,WEF_GCIHH_BRIBEIDX,2017,31,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
SAU,WEF_GCIHH_BRIBEIDX,2016,5.44,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2016,30,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2015,5.61,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2015,25,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2014,5.59,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2014,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2013,5.52,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2013,26,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2012,5.62,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2012,24,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2011,5.9,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2011,19,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2010,5.65,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_BRIBEIDX,2010,26,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2017,15.7,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,True,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2017,6,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2016,15,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2016,7,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2015,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2015,6,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2014,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2014,6,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2013,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2013,5,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2012,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2012,6,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2011,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2011,6,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2010,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2010,5,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2009,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2009,4,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2008,14.5,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2008,3,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2007,14.9,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_CORPTAXRATE,2007,1,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_EOSQ035,2017,5.7,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
SAU,WEF_GCIHH_EOSQ035,2017,21,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
SAU,WEF_GCIHH_EOSQ035,2016,6.07,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_EOSQ035,2016,16,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
SAU,WEF_GCIHH_EOSQ035,2015,6.34,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
