REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
USA,WEF_GCIHH_BRIBEIDX,2017,5.21,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_BRIBEIDX,2017,34,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_BRIBEIDX,2016,5.28,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2016,32,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2015,5.12,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2015,32,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2014,4.96,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2014,36,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2013,4.94,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2013,38,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2012,4.81,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2012,42,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2011,4.86,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2011,42,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2010,4.95,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_BRIBEIDX,2010,40,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2017,44,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_CORPTAXRATE,2017,95,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_CORPTAXRATE,2016,43.9,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2016,92,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2015,43.8,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2015,95,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2014,46.3,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2014,102,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2013,46.7,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2013,107,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2012,46.7,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2012,103,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2011,46.8,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2011,96,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2010,46.3,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2010,89,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2009,42.3,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2009,67,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2008,46.2,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2008,74,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_CORPTAXRATE,2007,46,PT_PRFT,_T,_T,_T,_Z,_Z,_Z,False,A,A
