Downloaded from wid.world on 12-07-2026 at 18:23:56
Country;Year;Percentile;Variable;Value;DataQuality
IR;1700;p90p100;shweal999j;;
IR;1700;p0p100;anninc992i;;
IR;1700;p99p100;sptinc992j;;
IR;1700;p99p100;sptinc999j;;
IR;1700;p90p100;sptinc992j;;
IR;1700;p99p100;shweal992j;;
IR;1700;p0p100;anninc999i;;
IR;1700;p90p100;shweal992j;;
IR;1700;p99p100;shweal999j;;
IR;1700;p90p100;sptinc999j;;
IR;1701;p90p100;shweal999j;;
IR;1701;p0p100;anninc992i;;
IR;1701;p99p100;sptinc992j;;
IR;1701;p99p100;sptinc999j;;
IR;1701;p90p100;sptinc992j;;
IR;1701;p99p100;shweal992j;;
IR;1701;p0p100;anninc999i;;
IR;1701;p90p100;shweal992j;;
IR;1701;p99p100;shweal999j;;
IR;1701;p90p100;sptinc999j;;
IR;1702;p90p100;shweal999j;;
IR;1702;p0p100;anninc992i;;
IR;1702;p99p100;sptinc992j;;
IR;1702;p99p100;sptinc999j;;
IR;1702;p90p100;sptinc992j;;
IR;1702;p99p100;shweal992j;;
IR;1702;p0p100;anninc999i;;
IR;1702;p90p100;shweal992j;;
IR;1702;p99p100;shweal999j;;
IR;1702;p90p100;sptinc999j;;
IR;1703;p90p100;shweal999j;;
IR;1703;p0p100;anninc992i;;
IR;1703;p99p100;sptinc992j;;
IR;1703;p99p100;sptinc999j;;
IR;1703;p90p100;sptinc992j;;
IR;1703;p99p100;shweal992j;;
IR;1703;p0p100;anninc999i;;
IR;1703;p90p100;shweal992j;;
IR;1703;p99p100;shweal999j;;
IR;1703;p90p100;sptinc999j;;
IR;1704;p90p100;shweal999j;;
IR;1704;p0p100;anninc992i;;
IR;1704;p99p100;sptinc992j;;
IR;1704;p99p100;sptinc999j;;
IR;1704;p90p100;sptinc992j;;
IR;1704;p99p100;shweal992j;;
IR;1704;p0p100;anninc999i;;
IR;1704;p90p100;shweal992j;;
IR;1704;p99p100;shweal999j;;
IR;1704;p90p100;sptinc999j;;
IR;1705;p90p100;shweal999j;;
IR;1705;p0p100;anninc992i;;
IR;1705;p99p100;sptinc992j;;
IR;1705;p99p100;sptinc999j;;
IR;1705;p90p100;sptinc992j;;
IR;1705;p99p100;shweal992j;;
IR;1705;p0p100;anninc999i;;
IR;1705;p90p100;shweal992j;;
IR;1705;p99p100;shweal999j;;
IR;1705;p90p100;sptinc999j;;
IR;1706;p90p100;shweal999j;;
IR;1706;p0p100;anninc992i;;
IR;1706;p99p100;sptinc992j;;
IR;1706;p99p100;sptinc999j;;
IR;1706;p90p100;sptinc992j;;
IR;1706;p99p100;shweal992j;;
IR;1706;p0p100;anninc999i;;
IR;1706;p90p100;shweal992j;;
IR;1706;p99p100;shweal999j;;
IR;1706;p90p100;sptinc999j;;
IR;1707;p90p100;shweal999j;;
IR;1707;p0p100;anninc992i;;
IR;1707;p99p100;sptinc992j;;
IR;1707;p99p100;sptinc999j;;
IR;1707;p90p100;sptinc992j;;
IR;1707;p99p100;shweal992j;;
IR;1707;p0p100;anninc999i;;
IR;1707;p90p100;shweal992j;;
IR;1707;p99p100;shweal999j;;
IR;1707;p90p100;sptinc999j;;
IR;1708;p90p100;shweal999j;;
IR;1708;p0p100;anninc992i;;
IR;1708;p99p100;sptinc992j;;
IR;1708;p99p100;sptinc999j;;
IR;1708;p90p100;sptinc992j;;
IR;1708;p99p100;shweal992j;;
IR;1708;p0p100;anninc999i;;
IR;1708;p90p100;shweal992j;;
IR;1708;p99p100;shweal999j;;
IR;1708;p90p100;sptinc999j;;
IR;1709;p90p100;shweal999j;;
IR;1709;p0p100;anninc992i;;
IR;1709;p99p100;sptinc992j;;
IR;1709;p99p100;sptinc999j;;
IR;1709;p90p100;sptinc992j;;
IR;1709;p99p100;shweal992j;;
IR;1709;p0p100;anninc999i;;
IR;1709;p90p100;shweal992j;;
IR;1709;p99p100;shweal999j;;
IR;1709;p90p100;sptinc999j;;
IR;1710;p90p100;shweal999j;;
IR;1710;p0p100;anninc992i;;
IR;1710;p99p100;sptinc992j;;
IR;1710;p99p100;sptinc999j;;
IR;1710;p90p100;sptinc992j;;
IR;1710;p99p100;shweal992j;;
IR;1710;p0p100;anninc999i;;
IR;1710;p90p100;shweal992j;;
IR;1710;p99p100;shweal999j;;
IR;1710;p90p100;sptinc999j;;
IR;1711;p90p100;shweal999j;;
IR;1711;p0p100;anninc992i;;
IR;1711;p99p100;sptinc992j;;
IR;1711;p99p100;sptinc999j;;
IR;1711;p90p100;sptinc992j;;
IR;1711;p99p100;shweal992j;;
IR;1711;p0p100;anninc999i;;
IR;1711;p90p100;shweal992j;;
IR;1711;p99p100;shweal999j;;
IR;1711;p90p100;sptinc999j;;
IR;1712;p90p100;shweal999j;;
IR;1712;p0p100;anninc992i;;
IR;1712;p99p100;sptinc992j;;
IR;1712;p99p100;sptinc999j;;
IR;1712;p90p100;sptinc992j;;
IR;1712;p99p100;shweal992j;;
IR;1712;p0p100;anninc999i;;
IR;1712;p90p100;shweal992j;;
IR;1712;p99p100;shweal999j;;
IR;1712;p90p100;sptinc999j;;
IR;1713;p90p100;shweal999j;;
IR;1713;p0p100;anninc992i;;
IR;1713;p99p100;sptinc992j;;
IR;1713;p99p100;sptinc999j;;
IR;1713;p90p100;sptinc992j;;
IR;1713;p99p100;shweal992j;;
