Downloaded from wid.world on 12-07-2026 at 18:24:21
Country;Year;Percentile;Variable;Value;DataQuality
PT;1700;p99p100;sptinc999j;;
PT;1700;p90p100;sptinc992j;;
PT;1700;p99p100;shweal999j;;
PT;1700;p0p100;anninc992i;;
PT;1700;p99p100;shweal992j;;
PT;1700;p90p100;shweal992j;;
PT;1700;p90p100;shweal999j;;
PT;1700;p0p100;anninc999i;;
PT;1700;p90p100;sptinc999j;;
PT;1700;p99p100;sptinc992j;;
PT;1701;p99p100;sptinc999j;;
PT;1701;p90p100;sptinc992j;;
PT;1701;p99p100;shweal999j;;
PT;1701;p0p100;anninc992i;;
PT;1701;p99p100;shweal992j;;
PT;1701;p90p100;shweal992j;;
PT;1701;p90p100;shweal999j;;
PT;1701;p0p100;anninc999i;;
PT;1701;p90p100;sptinc999j;;
PT;1701;p99p100;sptinc992j;;
PT;1702;p99p100;sptinc999j;;
PT;1702;p90p100;sptinc992j;;
PT;1702;p99p100;shweal999j;;
PT;1702;p0p100;anninc992i;;
PT;1702;p99p100;shweal992j;;
PT;1702;p90p100;shweal992j;;
PT;1702;p90p100;shweal999j;;
PT;1702;p0p100;anninc999i;;
PT;1702;p90p100;sptinc999j;;
PT;1702;p99p100;sptinc992j;;
PT;1703;p99p100;sptinc999j;;
PT;1703;p90p100;sptinc992j;;
PT;1703;p99p100;shweal999j;;
PT;1703;p0p100;anninc992i;;
PT;1703;p99p100;shweal992j;;
PT;1703;p90p100;shweal992j;;
PT;1703;p90p100;shweal999j;;
PT;1703;p0p100;anninc999i;;
PT;1703;p90p100;sptinc999j;;
PT;1703;p99p100;sptinc992j;;
PT;1704;p99p100;sptinc999j;;
PT;1704;p90p100;sptinc992j;;
PT;1704;p99p100;shweal999j;;
PT;1704;p0p100;anninc992i;;
PT;1704;p99p100;shweal992j;;
PT;1704;p90p100;shweal992j;;
PT;1704;p90p100;shweal999j;;
PT;1704;p0p100;anninc999i;;
PT;1704;p90p100;sptinc999j;;
PT;1704;p99p100;sptinc992j;;
PT;1705;p99p100;sptinc999j;;
PT;1705;p90p100;sptinc992j;;
PT;1705;p99p100;shweal999j;;
PT;1705;p0p100;anninc992i;;
PT;1705;p99p100;shweal992j;;
PT;1705;p90p100;shweal992j;;
PT;1705;p90p100;shweal999j;;
PT;1705;p0p100;anninc999i;;
PT;1705;p90p100;sptinc999j;;
PT;1705;p99p100;sptinc992j;;
PT;1706;p99p100;sptinc999j;;
PT;1706;p90p100;sptinc992j;;
PT;1706;p99p100;shweal999j;;
PT;1706;p0p100;anninc992i;;
PT;1706;p99p100;shweal992j;;
PT;1706;p90p100;shweal992j;;
PT;1706;p90p100;shweal999j;;
PT;1706;p0p100;anninc999i;;
PT;1706;p90p100;sptinc999j;;
PT;1706;p99p100;sptinc992j;;
PT;1707;p99p100;sptinc999j;;
