Downloaded from wid.world on 12-07-2026 at 18:24:13
Country;Year;Percentile;Variable;Value;DataQuality
US;1700;p99p100;shweal992f;;
US;1700;p90p100;shweal992t;;
US;1700;p90p100;shweal992m;;
US;1700;p99p100;shweal999i;;
US;1700;p90p100;shweal992f;;
US;1700;p90p100;sptinc996i;;
US;1700;p90p100;sptinc992i;;
US;1700;p0p100;anninc992i;;
US;1700;p99p100;shweal999j;;
US;1700;p99p100;shweal996i;;
US;1700;p99p100;shweal992m;;
US;1700;p90p100;sptinc992f;;
US;1700;p90p100;sptinc999j;;
US;1700;p0p100;anninc999i;;
US;1700;p99p100;shweal992j;;
US;1700;p99p100;shweal992t;;
US;1700;p99p100;shweal992i;;
US;1700;p99p100;sptinc992i;;
US;1700;p99p100;sptinc992f;;
US;1700;p90p100;shweal999j;;
US;1700;p90p100;sptinc992m;;
US;1700;p90p100;shweal992i;;
US;1700;p90p100;sptinc992t;;
US;1700;p90p100;shweal996i;;
US;1700;p90p100;shweal999i;;
US;1700;p90p100;sptinc999i;;
US;1700;p90p100;shweal992j;;
US;1700;p90p100;sptinc992j;;
US;1700;p99p100;sptinc992j;;
US;1700;p99p100;sptinc992m;;
US;1700;p99p100;sptinc992t;;
US;1700;p99p100;sptinc996i;;
US;1700;p99p100;sptinc999i;;
US;1700;p99p100;sptinc999j;;
US;1701;p99p100;shweal992f;;
US;1701;p90p100;shweal992t;;
US;1701;p90p100;shweal992m;;
US;1701;p99p100;shweal999i;;
US;1701;p90p100;shweal992f;;
US;1701;p90p100;sptinc996i;;
US;1701;p90p100;sptinc992i;;
US;1701;p0p100;anninc992i;;
US;1701;p99p100;shweal999j;;
US;1701;p99p100;shweal996i;;
US;1701;p99p100;shweal992m;;
US;1701;p90p100;sptinc992f;;
US;1701;p90p100;sptinc999j;;
US;1701;p0p100;anninc999i;;
US;1701;p99p100;shweal992j;;
US;1701;p99p100;shweal992t;;
US;1701;p99p100;shweal992i;;
US;1701;p99p100;sptinc992i;;
US;1701;p99p100;sptinc992f;;
US;1701;p90p100;shweal999j;;
US;1701;p90p100;sptinc992m;;
US;1701;p90p100;shweal992i;;
US;1701;p90p100;sptinc992t;;
US;1701;p90p100;shweal996i;;
US;1701;p90p100;shweal999i;;
US;1701;p90p100;sptinc999i;;
US;1701;p90p100;shweal992j;;
US;1701;p90p100;sptinc992j;;
US;1701;p99p100;sptinc992j;;
US;1701;p99p100;sptinc992m;;
US;1701;p99p100;sptinc992t;;
US;1701;p99p100;sptinc996i;;
US;1701;p99p100;sptinc999i;;
US;1701;p99p100;sptinc999j;;
US;1702;p99p100;shweal992f;;
US;1702;p90p100;shweal992t;;
US;1702;p90p100;shweal992m;;
US;1702;p99p100;shweal999i;;
US;1702;p90p100;shweal992f;;
US;1702;p90p100;sptinc996i;;
US;1702;p90p100;sptinc992i;;
US;1702;p0p100;anninc992i;;
US;1702;p99p100;shweal999j;;
US;1702;p99p100;shweal996i;;
US;1702;p99p100;shweal992m;;
US;1702;p90p100;sptinc992f;;
US;1702;p90p100;sptinc999j;;
US;1702;p0p100;anninc999i;;
US;1702;p99p100;shweal992j;;
US;1702;p99p100;shweal992t;;
US;1702;p99p100;shweal992i;;
US;1702;p99p100;sptinc992i;;
US;1702;p99p100;sptinc992f;;
